signal_uuid,symbol,signal_type,sl_pips,tp_pips,status,created_at
a07f6b06-2278-4d22-96d4-9faeb29fb030,USDSGD,SELL,10.30,31.20,COMPLETED,2026-03-19 01:21:38.997275+00
217cc060-f393-4a90-bc51-8ed210a3ddad,GBPNZD,SELL,12.90,47.00,COMPLETED,2026-03-19 01:21:38.023848+00
2e0257eb-5028-45b9-85d3-cc2aff80b914,GBPAUD,BUY,9.90,15.90,COMPLETED,2026-03-19 01:06:28.806851+00
6434dc36-12a0-4212-87bb-f7c815a7c532,EURUSD,BUY,8.60,37.90,COMPLETED,2026-03-19 01:06:28.520784+00
3f331f19-ad97-44da-a4ac-cec0feffce89,AUDCAD,BUY,10.50,40.20,COMPLETED,2026-03-19 00:36:10.798577+00
bda222fb-773f-49e0-83d9-5e11e517c039,USDCAD,SELL,10.10,17.30,COMPLETED,2026-03-19 00:20:26.495597+00
68b8e18b-e4ca-4ceb-a089-ca2813f891ca,EURUSD,BUY,9.60,39.20,COMPLETED,2026-03-19 00:20:26.083166+00
00e3f740-0913-480d-aa15-7fa2ea49f5c0,AUDSGD,BUY,11.80,32.20,COMPLETED,2026-03-19 00:16:01.149794+00
51ac247b-8542-4203-8a05-cf7165eabc9d,GBPNZD,SELL,14.20,51.40,COMPLETED,2026-03-18 23:18:46.681588+00
086633d4-301c-4071-8aca-f56b7723fb8e,EURNZD,SELL,17.50,61.00,COMPLETED,2026-03-18 22:48:33.324443+00
37bc1351-96df-4425-bd0c-de95b1efed29,CHFSGD,SELL,9.60,21.70,COMPLETED,2026-03-18 22:33:27.264074+00
d6fc6021-cfcf-418e-9d65-78a249929b56,GBPCAD,BUY,12.20,59.40,COMPLETED,2026-03-18 22:19:53.925881+00
8950d88b-81ef-45eb-9930-8e43aa2c422c,EURCHF,BUY,9.80,21.20,COMPLETED,2026-03-18 22:16:34.641562+00
0ff81ec0-de39-43c7-a450-8c6525630ed6,EURUSD,SELL,9.30,15.60,COMPLETED,2026-03-18 21:48:05.142381+00
923f7dde-4a18-41fc-b6df-be34edcf36e4,AUDUSD,SELL,8.80,13.70,COMPLETED,2026-03-18 21:48:04.433564+00
2ad0105d-f7d3-4c92-8452-ef2e4f1c72b0,GBPUSD,SELL,25.50,38.30,COMPLETED,2026-03-18 21:04:21.415035+00
7a4748c7-0db8-49cf-87e2-318947091a44,EURNZD,BUY,11.80,29.00,COMPLETED,2026-03-18 21:04:20.750486+00
90573366-17b9-482d-921b-336d40254719,EURNZD,BUY,15.80,29.00,COMPLETED,2026-03-18 21:02:40.341999+00
0509bd8f-e877-4089-8e75-35f25b131e28,AUDUSD,SELL,32.40,48.60,COMPLETED,2026-03-18 20:34:03.874202+00
768571a8-3a1f-414b-ac2c-6f5d9497f6cb,EURAUD,BUY,11.50,17.30,COMPLETED,2026-03-18 20:18:54.458116+00
91180d30-3890-41b5-a0eb-c1f546c723e0,GBPSGD,SELL,10.00,15.00,COMPLETED,2026-03-18 19:48:34.064561+00
